"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","test_get_list_users","","Fri Aug 09 19:22:52 AMT 2024","passed","Fri Aug 09 19:22:52 AMT 2024","","test_get_users","",""
"","3194","Delayed Response for List Users","","Fri Aug 09 19:22:49 AMT 2024","passed","Fri Aug 09 19:22:52 AMT 2024","","test_get_delayed_response","",""
"","314","test_login_unsuccessful","","Fri Aug 09 15:13:32 AMT 2024","passed","Fri Aug 09 15:13:32 AMT 2024","","test_reqres_post","",""
"","321","Delete User","","Fri Aug 09 19:22:49 AMT 2024","passed","Fri Aug 09 19:22:49 AMT 2024","","test_delete_user","",""
"","255","Login User Unsuccessfully - Missing Password","","Fri Aug 09 19:22:53 AMT 2024","passed","Fri Aug 09 19:22:53 AMT 2024","","test_post_login_unsuccessful","",""
"","68","test_get_single_user","","Fri Aug 09 19:22:52 AMT 2024","passed","Fri Aug 09 19:22:52 AMT 2024","","test_get_single_user","",""
"This test verifies that login with valid credentials returns a 200 status code and a valid token.","277","Test successful login","","Wed Aug 07 18:20:30 AMT 2024","passed","Wed Aug 07 18:20:30 AMT 2024","","test_post","",""
"","196","Update User with valid data","","Fri Aug 09 19:22:54 AMT 2024","passed","Fri Aug 09 19:22:54 AMT 2024","","test_put_update","",""
"","197","Patch User with valid data","","Fri Aug 09 19:22:52 AMT 2024","passed","Fri Aug 09 19:22:53 AMT 2024","","test_patch_update","",""
"This test verifies that registration with missing password returns a 400 status code and an error message.","326","Test unsuccessful registration","","Wed Aug 07 18:21:25 AMT 2024","passed","Wed Aug 07 18:21:25 AMT 2024","","test_post","",""
"This test verifies that login with missing password returns a 400 status code and an error message.","195","Test unsuccessful login","","Wed Aug 07 18:20:30 AMT 2024","passed","Wed Aug 07 18:20:30 AMT 2024","","test_post","",""
"This test verifies that a user can successfully register and returns an ID and token.","316","Test successful user registration","","Wed Aug 07 17:39:00 AMT 2024","passed","Wed Aug 07 17:39:01 AMT 2024","","test_post","",""
"","198","test_login_success","","Fri Aug 09 15:13:32 AMT 2024","passed","Fri Aug 09 15:13:32 AMT 2024","","test_reqres_post","",""
"
    Test case for getting a list of users with page=2.
    ","0","test_list_users","","Fri Aug 09 15:13:31 AMT 2024","broken","Fri Aug 09 15:13:31 AMT 2024","","test_get_users","",""
"","229","Register User Successfully","","Fri Aug 09 19:22:53 AMT 2024","passed","Fri Aug 09 19:22:54 AMT 2024","","test_post_register","",""
"Test case for creating a new user.","340","Create User with valid data","","Fri Aug 09 16:24:48 AMT 2024","passed","Fri Aug 09 16:24:49 AMT 2024","","test_post_create","",""
"","340","test_create_user","","Fri Aug 09 15:13:32 AMT 2024","passed","Fri Aug 09 15:13:33 AMT 2024","","test_reqres_post","",""
"This test verifies that registration with valid data returns a 200 status code and a valid response.","336","Test successful registration","","Wed Aug 07 18:20:29 AMT 2024","passed","Wed Aug 07 18:20:29 AMT 2024","","test_post","",""
"","265","Login User Successfully","","Fri Aug 09 19:22:53 AMT 2024","passed","Fri Aug 09 19:22:53 AMT 2024","","test_post_login","",""
"This test verifies that a user can successfully log in and returns a token.","199","Test successful user login","","Wed Aug 07 17:39:01 AMT 2024","passed","Wed Aug 07 17:39:01 AMT 2024","","test_post","",""
"This test verifies that creating a user with valid data returns a 201 status code and the created user data.","225","Test create user","","Wed Aug 07 18:20:30 AMT 2024","passed","Wed Aug 07 18:20:30 AMT 2024","","test_post","",""
"","190","Register User Unsuccessfully - Missing Password","","Fri Aug 09 19:22:54 AMT 2024","passed","Fri Aug 09 19:22:54 AMT 2024","","test_post_register_unsuccesfull","",""
"","198","Create User with valid data","","Fri Aug 09 19:22:53 AMT 2024","passed","Fri Aug 09 19:22:53 AMT 2024","","test_post_create","",""
"","337","test_register_success","","Fri Aug 09 15:13:31 AMT 2024","passed","Fri Aug 09 15:13:32 AMT 2024","","test_reqres_post","",""
"","37","test_get_single_user_not_found","","Fri Aug 09 19:22:52 AMT 2024","passed","Fri Aug 09 19:22:52 AMT 2024","","test_get_single user_not_found","",""
"","237","test_register_unsuccessful","","Fri Aug 09 15:13:32 AMT 2024","passed","Fri Aug 09 15:13:32 AMT 2024","","test_reqres_post","",""
